3.78x
1.85x
1.07x
2.84x
1.00x
2.79x
1.64x
5.05x
1.82x
17.25x
1.04x
2.63x
2.89x
9.47x
1.49x
1.03x
2.19x
1.13x
1.00x
1.09x
5.81x
1.22x
75.30x
1.03x
1.39x
7.42x
2.00x
1.36x
2.27x
1.46x
1.81x
4.44x
1.19x
1.46x
11.72x
4.84x
5.42x
2.66x
1.20x
1.42x
1.37x
